25859066	Category:Populated places in Lesotho
16911810	Category:Populated places in North Brabant
30557864	Category:Quantum gravity
27362502	Category:Main Belt asteroids
27362502	Category:Discoveries by Seiji Ueda
27362502	Category:Astronomical objects discovered in 1988
27362502	Category:Discoveries by Hiroshi Kaneda
26362036	Category:Main Belt asteroids
26362036	Category:Discoveries by Zdeňka Vávrová
26362036	Category:Astronomical objects discovered in 1987
27546525	Category:Main Belt asteroids
27546525	Category:Astronomical objects discovered in 1986
27546525	Category:Discoveries by Henri Debehogne
26291414	Category:Main Belt asteroids
26291414	Category:Astronomical objects discovered in 1981
26291414	Category:Discoveries by Schelte J. Bus
29076233	Category:1986 singles
29076233	Category:Restless Heart songs
28447627	Category:Norah Jones albums
28447627	Category:2010 compilation albums
28447627	Category:Blue Note Records compilation albums
21628145	Category:Pistol and rifle cartridges
1236209	Category:Communications in Kenya
1236209	Category:Country code top-level domains
1238030	Category:Country code top-level domains
1238030	Category:Communications in Saint Pierre and Miquelon
4547829	Category:Alkylbenzenes
4514062	Category:Chelating agents
4514062	Category:Reagents for organic chemistry
4514062	Category:Thiols
246894	Category:Military food of the United States
6029182	Category:1987 albums
6029182	Category:Burning Spear albums
6029182	Category:Island Records albums
6029182	Category:Reggae
16441385	Category:Main Belt asteroids
16441385	Category:Astronomical objects discovered in 1996
22163759	Category:Prayers by Meher Baba
22163759	Category:Names of God
22163759	Category:Zoroastrianism